# kanazawa-triples.tsv - Japanese medical vocabulary with English + Latin combining form
# source: kt.kanazawa-med.ac.jp/english/2-1.pdf
# columns: reading<TAB>japanese<TAB>english<TAB>latin<TAB>section
きんにく	筋肉	muscle	my/o	脳神経系の用語 The Nervous System
ずがいこつ	頭蓋骨	cranium, skull	crani/o	脳神経系の用語 The Nervous System
せきつい	脊椎	spine	rach/i, rachi/o, spin/o	脳神経系の用語 The Nervous System
せきちゅう	脊柱	spine	rach/i, rachi/o, spin/o	脳神経系の用語 The Nervous System
ついこつ	椎骨	vertebra	vertebr/o	脳神経系の用語 The Nervous System
かたこうこつ	肩甲骨	scapula	scapul/o	脳神経系の用語 The Nervous System
さこつ	鎖骨	clavicle	clavic/o, clavicul/o	脳神経系の用語 The Nervous System
かたほう	肩峰	acromion	acromi/o	脳神経系の用語 The Nervous System
きょうこつ	胸骨	sternum	stern/o	脳神経系の用語 The Nervous System
ろっこつ	肋骨	rib	cost/o	脳神経系の用語 The Nervous System
ちょうぼね	腸骨	ilium	ili/o	脳神経系の用語 The Nervous System
ざこつ	坐骨	ischium	ischi/o	脳神経系の用語 The Nervous System
せんこつ	仙骨	sacrum	sacr/o	脳神経系の用語 The Nervous System
ちこつ	恥骨	pubis	pub/o, pubi/o	脳神経系の用語 The Nervous System
じょうわんぼね	上腕骨	humerus	humer/o	脳神経系の用語 The Nervous System
しゃくぼね	尺骨	ulna	uln/o	脳神経系の用語 The Nervous System
てねぼね	手根骨	carpus	carp/o	脳神経系の用語 The Nervous System
ゆびぶしぼね	指節骨	phalanx	phalang/o	脳神経系の用語 The Nervous System
だいたいぼね	大腿骨	femur	femor/o	脳神経系の用語 The Nervous System
ひこつ	腓骨	fibula	fibul/o	脳神経系の用語 The Nervous System
けいこつ	脛骨	tibia	tibi/o	脳神経系の用語 The Nervous System
しつがいこつ	膝蓋骨	patella	patell/o	脳神経系の用語 The Nervous System
かかとぼね	踵骨	calcaneus	calcane/o	脳神経系の用語 The Nervous System
おんど	温度	heat	therm/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
ひ	火	fire, fever	pyr/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
ひかり	光	light	phot/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
いし	石	stone	lith/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
おと	音	sound	phon/o, son/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
でんき	電気	electricity	electr/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
みず	水	water	hydr/o, aque/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
ほうしゃせん	放射線	radiation	radi/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
かがく	化学	chemical, chemistry	chem/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
